Lek,Kategoria,pH,NaCl,G5,Stabilność,Osłona,Uwagi krytyczne
Acetylocysteina,objawowe,"6,0–7,5",OK,OK,"NaCl/G5: 24h po otwarciu fiolki. Unikać metali (szczególnie żelazo, miedź)",Chronić,Wytrącenie z antybiotykami aminoglikozydowymi. Reaktywne tiolowe grupy — unikać metalowych strzykawek.
Adrenalina,kardio,"2,5–5,0",OK,OK,"24h, w lodówce do 48h. Obserwować przebarwienie (różowe/brązowe = degradacja)",CHRONIĆ bezwzględnie,Kwaśne pH — niezgodność z zasadowymi lekami. Niekompatybilna z NaHCO₃ (natychmiastowa inaktywacja).
Albumina 20% (Alburex),inne,"6,9–7,3",OK,OK,Po otwarciu: 4h. Gotowy preparat: 24h,Chronić,"Nie rozcieńczać hipotonicznym roztworem. Może wiązać leki (fenytoinę, diazepam, inne) — wpływ na dystrybucję."
Amikacyna,antybiotyk,"3,5–5,5",OK,OK,"NaCl/G5: 24h 25°C, 60 dni 5°C",Stabilna,Niezgodna z beta-laktamami (inaktywacja wzajemna). Podawać osobno lub z przerwą. Wskazówka: piperacylina inaktywuje amikacynę nawet w osobnych liniach przy długiej ekspozycji.
Amiodaron (Cordarone),kardio,"3,5–4,5",NIE,OK,"G5: 24h, max stężenie 2 mg/ml w plastiku PVC (adsorpcja!). G5 non-PVC: do 24h",CHRONIĆ BEZWZGLĘDNIE — folia aluminiowa,"NaCl 0,9% — NIEZGODNY (wytrącenie). TYLKO G5. Zawiera benzalkoniowy — wrażliwe naczynie i ból w miejscu wkłucia. Adsorpcja do PVC — stosować pojemniki szklane lub non-PVC. Konflikt z wieloma lekami (QT)."
Ampicylina,antybiotyk,"8,0–10,0",OK,OK,"NaCl/G5: 8h w temp. pokojowej, 48h w lodówce",Nieznacząca wrażliwość,Po rozp. w G5 — max 4h. Hydroliza przy pH<5 lub >10. Traci aktywność bez widocznych zmian po >8h w temp. pokojowej.
Ampicylina + sulbaktam,antybiotyk,"8,0–10,0",OK,Brak danych,"NaCl: 8h w temp. pokojowej, 24h w lodówce",Chroni przed światłem,"G5 — sulbaktam niestabilny. W NaCl 0,9% — optymalne."
Bupiwakaina,inne,"4,0–6,5",OK,Brak danych,NaCl: stabilna 24h,Chronić,Podawanie IV — tylko w szczególnych przypadkach pod nadzorem. Toksyczność sercowa.
Ceftriakson,antybiotyk,"6,0–8,0",OK,OK,"NaCl/G5: 24h 25°C, 10 dni 5°C (0,1–0,4 g/ml)",Chronić przed światłem po rozp.,"BEZWZGLĘDNIE NIEZGODNY z Ca²⁺ (nawet w różnych liniach, szczególnie noworodki). Niezgodny z aminoglikozydami. Przy >40 mg/ml — ryzyko wytrącenia."
Cerebrolysin,neuro,"7,0–8,5",OK,OK,"Po rozcieńczeniu: zużyć w ciągu 24h, preferuj niezwłoczne podanie",Chronić,Wytrąca się z roztworami aminokwasów i emulsjami lipidów. Podawać osobno.
Chlorek wapnia (Calcium chloratum),objawowe,"5,5–7,5",OK,OK,Stabilny 24h,Stabilny,"NIEZGODNY z ceftriaksonem (wytrącenie nierozpuszczalnego soli wapniowej). Niezgodny z fosforanami, siarczanami, węglanami."
Deksametazon (Dexaven/Dexamethasone TZF),objawowe,"7,0–8,5",OK,OK,NaCl/G5: 24h 25°C,Chronić,Wytrącenie z alkaloidami opium w pH zasadowym. Szeroka kompatybilność przy pH 7–8.
Diazepam (Relanium),sedacja,"6,2–6,9",NIE,NIE,TYLKO niezrozcieńczony lub w G5 max 5 mg/100ml. NaCl — wytrącenie,Chronić,Silna adsorpcja do PVC — straty dawki nawet 80–90%. Stosować szkło lub non-PVC. Nie rozcieńczać NaCl.
Digoksyna,kardio,"6,8–7,2",OK,OK,Rozcieńczona: do 4h. Podawać niezwłocznie po rozcieńczeniu,Chronić,Adsorpcja do plastiku — stosować szkło lub dedykowane zestawy. Wąski indeks terapeutyczny — dokładność dawkowania krytyczna.
Dobutamina,kardio,"2,5–5,5",OK,OK,"Rozcieńczona: 24h 25°C, 48h 5°C. Zmiana koloru = degradacja",Chronić,Niezgodna z NaHCO₃ i zasadowymi roztworami. Strącenie z furosemidem.
Dopamina,kardio,"2,5–5,0",OK,OK,G5/NaCl: 24h 25°C. Nie stosować jeśli zmienił kolor na różowy/żółty,Chronić,Niezgodna z NaHCO₃ i lekami zasadowymi. Żelaziste jony — inaktywacja. pH stabilizuje G5.
Esomeprazol (Esopol),objawowe,"9,0–10,0",OK,Brak danych,NaCl: 12h w temp. pokojowej. Niezwłocznie po rozp.,CHRONIĆ bezwzględnie,"G5 — brak pewnych danych, zasadowy pH esomeprazolu jest niezgodny z kwaśnym G5. Degradacja bez widocznych zmian."
Etamsylat (Cyclonamine),objawowe,"5,0–7,0",OK,OK,Stabilny 24h,Chronić,Niekompatybilny z alkalicznymi roztworami.
Fentanyl,sedacja,"4,0–7,5",OK,OK,NaCl/G5: 24h 25°C,Chronić,Kompatybilny z wieloma lekami. Przy mieszaniu z midazolamem — kontrolować pH.
Fenytoina (Epanutin),neuro,"10,0–12,3",OK,NIE,"NaCl 0,9%: 1h (max!). Stężenie ≤10 mg/ml",Chronić,"G5 — NIEZGODNA (natychmiastowe wytrącenie). TYLKO NaCl 0,9%, stężenie ≤10 mg/ml. Szybkość podania ≤50 mg/min — hipotensja i arytmia. Wytrąca się z większością leków. Podawać przez DEDYKOWANĄ linię."
Fibryna (Fibryga),hemato,"6,5–7,5",Brak danych,Brak danych,Podawać natychmiast po rekonst. Nie mieszać z innymi lekami!,Chronić,WYŁĄCZNIE rekonstytuowany dostarczonym rozpuszczalnikiem. Nie rozcieńczać. Nie mieszać z innymi lekami — ryzyko inaktywacji.
