Lek,Ryzyko fizyczne — poziom,Ryzyko fizyczne — dotkliwość,Zdarzenie fizyczne,Ryzyko farmakol. — poziom,Ryzyko farmakol. — dotkliwość,Zdarzenie farmakol.,Ryzyko proceduralne — poziom,Ryzyko proceduralne — dotkliwość,Zdarzenie proceduralne
Acetylocysteina,Wysokie,Wysokie,"Grupy tiolowe — wytrącenie z aminoglikozydami, CaCl₂, niektórymi metalami.",Średnie,Średnie,Anafilaksja przy zbyt szybkim pierwszym wlewie (15 min).,Wysokie,Wysokie,Pominięcie protokołu 3-etapowego lub podanie zbyt szybko = anafilaksja.
Adrenalina,Bardzo wysokie,Krytyczne,Inaktywacja przez NaHCO₃ i alkalia. Oksydacja — brązowienie = nieaktywna.,Wysokie,Krytyczne,Jak noradrenalina. Poza NZK — bolus = ciężka hipertensja.,Wysokie,Krytyczne,Bolus poza NZK przez niedopatrzenie (np. push przez linię) = nagła hipertensja/arytmia.
Albumina 20%,Średnie,Średnie,Wytrącenie z CaCl₂ (wysokie stężenia).,Wysokie,Wysokie,Wiąże fenytoinę i diazepam — zmieniona farmakokinetyka wolnej frakcji.,Średnie,Wysokie,"Zbyt szybki wlew = przeciążenie płynowe, obrzęk płuc."
Amikacyna,Bardzo wysokie,Krytyczne,Inaktywacja przez WSZYSTKIE beta-laktamy w linii. Dead space trójnika wystarczy.,Bardzo wysokie,Krytyczne,Inaktywacja przez beta-laktamy. Nefro- i ototoksyczność z wankomycyną.,Bardzo wysokie,Krytyczne,"Podanie przez lumen z beta-laktamem — najczęstszy błąd proceduralny w OIT. Amikacyna wydaje się podana, ale jest nieaktywna."
Amiodaron,Bardzo wysokie,Krytyczne,Wytrącenie w NaCl (natychmiastowe). Adsorpcja do PVC + ekstrakcja DEHP. Liniowy kontakt z innymi lekami w G5.,Bardzo wysokie,Krytyczne,"Podwojenie stężenia digoksyny. QT addytywne z haloperydolem (TdP), flukonazolem. Wzrost stężenia teofiliny.",Wysokie,Wysokie,Podanie w NaCl lub przez PVC — lek nieaktywny lub utracony. Bolus poza NZK = hipotensja.
Amp+sulbaktam,Średnie,Wysokie,Jak ampicylina. Sulbaktam niestabilny w G5.,Wysokie,Wysokie,Sulbaktam degraduje w G5 — utrata aktywności inhibitora beta-laktamaz.,Niskie,Średnie,Błędny dobór nośnika (G5).
Ampicylina,Średnie,Wysokie,Wytrącenie z aminoglikozydami (natychmiastowe) i roztworami zasadowymi,Wysokie,Wysokie,Inaktywacja amikacyny przez kontakt. Aminoglikozydy tracą do 100% aktywności.,Średnie,Średnie,"pH ~10 — ból żylny przy szybkim podaniu. Przypadkowy szybki bolus = ból, drażnienie żyły."
Bupiwakaina,Niskie,Niskie,Nie dotyczy IV.,Bardzo wysokie,Krytyczne,Przypadkowe IV = NZK oporne na resuscytację. Wysoka lipofilność = kumulacja w sercu.,Wysokie,Krytyczne,Pomylenie drogi podania (zewnątrzoponowy vs IV) = śmierć. Aktywacja linii IV podczas znieczulenia zewnątrzoponowego.
CaCl₂,Bardzo wysokie,Krytyczne,"Wytrącenie z ceftriaksonem (śmiertelne u noworodków, FDA), fosforanami, węglanami. Natychmiastowe.",Średnie,Wysokie,Hiperkalcemia przy szybkim bolus. Arytmia.,Wysokie,Krytyczne,Bolus przez linię po ceftriaksonie bez przepłukania = wytrącenie w kaniuli.
Ceftriakson,Bardzo wysokie,Krytyczne,Natychmiastowe wytrącenie soli Ca-ceftriaksonowej przy kontakcie z CaCl₂/Ca-glukonian. Mikrokryształy w linii. FDA Black Box.,Średnie,Wysokie,Inaktywacja przy kontakcie z aminoglikozydami.,Wysokie,Krytyczne,Podanie CaCl₂ przez linię po ceftriaksonie bez przepłukania. Krzyżowe podanie przez wspólny trójnik.
Cerebrolysin,Średnie,Średnie,"Wytrącenie z aminokwasami IV, emulsjami lipidów.",Niskie,Niskie,Brak krytycznych.,Niskie,Niskie,Brak krytycznych.
